Ano,Dia,Velocidade do vento (m/s),Ponto de orvalho (°C),Temperatura mín.  (°C),Irradiância solar (W/m²),Umidade relativa (%),Velocidade máx. do vento (m/s),Velocidade mín. do vento (m/s),Pressão atmosférica (kPa),Time lag
2024,95,1.84,20.95,22.01,422.37,75.56,3.95,0.39,94.32,2.42
2024,96,1.3,21.18,22.28,420.88,76.12,2.95,0.23,94.33,1.76
2024,97,01.03,21.62,21.97,419.26,76.81,2.12,0.3,94.26,01.09
2024,98,02.04,22.15,22.33,427.13,83.62,4.37,0.03,94.31,02.04
2024,99,1.84,20.98,20.69,387.77,79.19,3.67,0.69,94.32,1.37
2024,100,1.34,21.49,21.73,422.2,75.88,2.8,0.24,94.27,2.0
2024,101,0.64,21.49,22.69,407.91,74.0,1.69,0.08,94.17,1.84
2024,102,1.3,21.49,21.74,424.73,74.38,2.62,0.26,94.21,1.3
2024,103,1.69,21.26,21.67,430.62,74.06,3.44,0.14,94.26,01.03
2024,104,1.92,20.49,21.54,404.28,71.38,3.99,0.5,94.25,02.04
2024,105,2.1,19.34,20.79,402.65,69.75,3.73,0.84,94.19,1.84
2024,106,1.89,19.05,19.99,405.18,66.81,3.71,0.7,94.2,1.34
2024,107,2.13,20.34,21.4,418.29,72.0,3.61,0.96,94.3,0.64
2024,108,2.38,20.2,22.4,410.66,68.62,4.3,0.84,94.26,1.3
2024,109,1.64,21.12,21.89,416.76,73.12,3.23,0.7,94.21,1.69
2024,110,1.42,20.19,21.72,419.3,66.75,3.15,0.27,94.24,1.92
2024,111,1.88,19.23,21.23,418.49,63.62,3.86,0.52,94.36,2.1
2024,112,2.48,19.06,22.65,408.89,64.06,4.14,0.79,94.33,1.89
2024,113,2.23,18.9,22.08,404.52,62.44,04.01,0.8,94.24,2.13
2024,114,1.73,19.1,21.46,414.3,63.38,3.88,0.64,94.29,2.38
2024,115,1.76,18.98,21.73,415.98,61.06,3.71,0.68,94.3,1.64
2024,116,2.0,18.06,22.69,407.47,56.0,3.51,0.79,94.25,1.42
2024,117,2.6,17.28,21.31,424.57,57.88,4.25,01.01,94.19,1.88
2024,118,2.45,18.56,21.71,422.83,65.0,4.55,1.12,94.23,2.48
2024,119,2.0,20.15,22.59,410.82,68.0,3.27,0.77,94.22,2.23
2024,120,02.09,17.11,20.58,382.9,56.88,3.59,0.93,94.27,1.73
2024,121,2.48,16.54,20.44,382.19,55.56,3.81,1.2,94.32,1.76
